DECEMBER,DATE,SLEEP SCORE,HOURS OF Sleep,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME,,Minutes of Sleep
Tueasday,12-01-2021,1,8:09:00,23,19,70,10:28pm - 7:29am,,489
Wednesday,12-02-2021,1,7:33:00,23,19,98,10:56pm - 7:20am,,453
Thursday,12-03-2021,0,7:17:00,16,13,94,10:45pm - 6:58am,,437
Friday,12-04-2021,0,7:17:00,15,17,78,10:51pm - 7:02am,,437
Saturday,12-05-2021,1,8:23:00,20,15,58,9:53pm - 7:17am,,503
Sunday,12-06-2021,0,7:19:00,20,12,79,11:54pm - 8:16am,,439
Monday,12-07-2021,0,7:18:00,18,16,56,11:28pm - 7:47am,,438
Tuesday,12-08-2021,1,8:02:00,21,11,94,10:09pm - 7:18am,,482
Wednesday,12-09-2021,1,6:47:00,22,16,94,11:40pm - 7:33,,407
Thursday,12-10-2021,1,7:32:00,12,14,96,10:47pm - 7:27am,,452
Friday,12-11-2021,1,7:45:00,20,13,75,10:27pm - 7:07am,,465
Saturday,12-12-2021,0,7:57:00,13,10,45,11:44pm - 9:05am,,477
Sunday,12-13-2021,1,6:47:00,24,17,74,12:21am - 8:18am,,407
Monday,12-14-2021,1,8:33:00,21,15,83,10:13pm - 7:47am,,513
Tuesday,12/14/2021,0,7:33:00,12,20,76,11:19pm - 7:54am,,453
Wednesday,12/15/2021,0,7:08:00,26,19,31,11:00pm - 6:58am,,428
Thursday,12/16/2021,0,6:34:00,16,23,0,12:38am - 8:18am,,394
Friday,12/17/2021,0,7:18:00,21,16,79,11:54pm - 8:10am,,438
Saturday,12/18/2021,1,8:14:00,16,18,99,10:44pm - 8:16am,,494
Sunday,12/19/2021,0,7:08:00,29,17,65,11:57pm - 7:57am,,428
Monday,12/20/2021,1,7:06:00,23,14,98,12:42am - 8:51am,,426
Tuesday,12/21/2021,1,8:26:00,21,19,96,10:25pm - 8:01am,,506
Wednesday,12/22/2021,1,7:29:00,22,16,90,11:01pm - 7:42am,,449
Thursday,12/23/2021,1,8:37:00,20,19,95,11:24pm - 9:18am,,517
Friday,12/24/2021,0,9:03:00,12,18,52,11:20pm - 9:56am,,543
Saturday,12/25/2021,0,6:39:00,16,14,50,01:19am - 9:06am,,399
Sunday,12/26/2021,1,7:51:00,21,27,83,12:14am - 9:08am,,471
Monday,12/27/2021,0,7:06:00,20,16,90,12:00am - 8:09am,,426
Tuesday,12/28/2021,1,6:57:00,20,18,99,11:16pm - 7:02,,417
Wednesday,12/29/2021,1,7:23:00,26,16,98,10:51pm - 7:09am,,443
Thursday,12/30/2021,1,7:48:00,22,21,60,11:34pm - 8:18am,,468
Friday,12/31/2021,1,8:09:00,23,19,70,10:28pm - 7:29am,,489
